Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Jordan,2012,83rd,109,Elevated warning,5.7,6.3,7,6.4,6.8,4.4,6.3,4.6,7.1,6.5,7.3,6.5,3.6,9.9,4.3,6.5,8,1.9
Guyana,2012,84th,109,Elevated warning,6.1,5.1,6.2,6.1,7.1,8.6,6.5,5.7,4.7,6.1,3.5,5.7,2.6,9.7,5,4.7,10,5.6
El Salvador,2012,85th,109,Elevated warning,6.7,4.3,6,6,7.3,7.2,6.2,6.6,6.4,7.7,5.2,4.8,2.2,9.1,2.5,6.8,9.3,4.7
Sao Tome and Principe,2012,86th,108.8,Elevated warning,5.8,6.3,4.8,7.4,6.1,7.6,6.7,6.7,4.6,6.8,4,7,4.7,9.6,3.3,4.6,9.6,3.2
Russia,2012,87th,108.7,Elevated warning,8.2,8,7.9,4,7.3,5.4,7.9,5,8.1,6,5,4.3,1.7,9.7,1.2,6.6,10,2.4
Thailand,2012,88th,108.6,Elevated warning,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9,1.5,10,3.9,7.2,6.2,2.8
Comoros,2012,89th,108.5,Elevated warning,7.5,7.5,5.3,7.9,6.1,6.9,7.7,7.9,6.3,7.3,4.2,8.4,4.6,8.3,3.2,3.6,5.3,0.5
Algeria,2012,90th,108.2,Elevated warning,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5,2.9,9.5,1.6,6.7,3.8,5.6
Bosnia and Herzegovina,2012,91st,108.1,Elevated warning,6.7,8.7,8,5.5,6.5,5.8,7,4.7,6.1,4.7,6.5,7.7,1.3,9.1,3.2,7.3,5.5,3.8
Lesotho,2012,92nd,107.8,Elevated warning,5.5,7,4.7,8.6,6.4,6.5,6.3,8,5.7,8.7,4.6,6.9,3.3,9.5,5.8,1,4.6,4.7
Benin,2012,93rd,107.7,Elevated warning,6,6.4,3.6,7.6,6.9,6.3,6.4,8.3,5.4,8,6.8,7,5.2,7.5,2,2.8,10,1.5
Equatorial Guinea,2012,94th,107.7,Elevated warning,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7,5,0,2.6,2,10,1.8
Venezuela,2012,95th,106.9,Elevated warning,6.7,7.3,6.7,5.9,7.2,6.1,7.9,6.3,7.7,5.7,4.5,5.2,2.4,7.6,1.4,7.2,8.1,3
Dominican Republic,2012,96th,105.7,Elevated warning,5.5,6.5,5.8,5.8,7.2,7.6,5.7,6.5,6,6.5,5.2,5.9,2.5,8.1,1.9,6.7,8.5,3.7
Maldives,2012,97th,105.6,Elevated warning,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1,2.2,10,4.9,7,5.2,1.2
Kazakhstan,2012,98th,105.3,Elevated warning,6.3,7.7,6.5,6.5,5.6,3.5,7.5,5.4,7.1,5.6,3.5,5.6,2.6,10,1.7,6.2,9.7,4.3
Armenia,2012,99th,104.7,Warning,5.2,7,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1,1.7,9.5,2.8,6.8,10,1.9
Vietnam,2012,100th,104.6,Warning,5.7,6.9,6,6.1,5.9,6,7.5,6.1,7.4,6.1,4.4,5.9,2,9.7,4.4,7.7,2.5,4.3
Mali,2012,101st,104.1,Warning,7.1,4.5,6,7.5,6.4,7.3,5.3,8,4.6,8.8,5.5,7,6.4,5.6,1.8,1.7,8.9,1.8
Saudi Arabia,2012,102nd,104,Warning,7.2,7.9,7.7,3.4,6.7,2.9,7.6,4.3,8.6,5.8,5.5,5.9,2.8,9.9,1.7,6.5,9.7,0
Namibia,2012,103rd,103.6,Warning,5.2,3.5,5.6,6.4,8.5,6.8,4.4,6.6,5.2,7.1,5.3,6.3,3.6,8,3.4,3.3,10,4.3
Seychelles,2012,104th,103.3,Warning,6.1,5.7,4.8,4.9,6.9,5.2,6.3,3.8,5.5,5.5,3.6,6.8,2.4,9.9,6.3,7.5,4.4,7.8
Peru,2012,105th,103.1,Warning,6.9,6.6,7.1,4.6,8,6.4,7.1,6.6,4.9,6.1,4.4,4.8,2.5,9.5,1.4,6.8,5.6,3.8
Suriname,2012,106th,102.9,Warning,5.8,5.8,6.1,6.6,7.5,7.3,6.4,5,5.3,5.8,3.2,6.4,2.5,8,3,6.1,10,2.1
India,2012,107th,102.4,Warning,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5,2.5,7.7,1.8,4.7,5.8,2
Macedonia,2012,108th,101.9,Warning,5.7,6.7,7.6,5.9,6.5,6.4,6.4,4.2,4.6,4.2,4.9,5.9,1.5,9.5,3.8,6.9,5.5,5.8
Cyprus,2012,109th,101.2,Warning,5,7.9,7.3,5.4,7,5,5.2,3.1,3.3,4.1,4.7,8.8,1.4,10,3.1,8.2,9.8,1.9
Belize,2012,110th,99.5,Warning,5.5,4.3,4.4,5.4,6.9,7,6,5.9,3.9,6.8,5.1,6,2.6,9.9,3.6,5.8,9.9,0.6
Micronesia,2012,111th,98.8,Warning,5.4,5.6,4.2,7,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2,3.3,7.6,4,5,7,0
Paraguay,2012,112th,97.7,Warning,6.1,7.7,6.2,5.6,8.3,5.2,7.6,5.8,6.1,6,2.2,4.2,2.6,8.4,2.8,6.3,4.3,2.2
Ghana,2012,113th,97.5,Warning,3.3,4.7,5.2,6,6.2,7.6,4.8,7.6,4.5,6.7,5.2,5.7,4.2,9.1,3,3.1,8.7,1.9
Gabon,2012,114th,97.5,Warning,5.7,7.1,3.3,5.7,7.6,5.8,7.8,6.9,6.8,6.5,5.9,5.5,4,7.7,1.8,3.9,2.7,2.8
Grenada,2012,115th,97.1,Warning,5.3,5.6,3.9,6,6.2,8.2,6.2,3.9,4,5.5,2.9,7.4,2.2,9.7,2.8,6.5,8.4,2.4
Jamaica,2012,116th,97,Warning,6.2,3.7,4,6.6,6.2,7,6.4,5.6,5.2,5.9,3.1,6,2.1,9.6,3,7.1,7.1,2.3
Samoa,2012,117th,96.4,Warning,5.5,5.1,4.8,5.4,6.3,8.6,6,4.8,4.4,6.7,2.6,8.3,4.2,5.3,3,6.9,7.8,0.7
Botswana,2012,118th,96.2,Warning,3.8,3.3,4.8,6.5,7.7,5.3,4.7,5.9,4.7,8.6,6.1,5.1,2.9,9.5,3.5,3.9,8.7,1.4
Malaysia,2012,119th,95.8,Warning,6.3,6.8,6.4,4.6,6.4,4.4,6.5,4.8,7.4,5.7,4.5,4.7,2.1,9.7,3.9,6.9,2.8,1.8
Trinidad and Tobago,2012,120th,95.2,Warning,6,5.6,4.4,4.7,6.6,7.7,5.9,5.1,5.5,5.5,2.9,4.5,1.8,9.1,2.9,6,5.9,5.1
Brazil,2012,121st,94.8,Warning,6.2,4.9,6.2,3.6,8.4,4.2,5.6,5.5,5,7,3.9,3.6,1.8,9.5,0.7,7.2,10,1.5
Albania,2012,122nd,94.2,Warning,5.4,6.6,5.1,5.6,5.1,6.8,7.3,4.9,5.5,5,2.8,6,1.7,10,3,7.6,3.1,2.8
