Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Tanzania,2013,74th,112,Elevated Warning,5.5,5.7,6,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7,5.2,9.1,3.1,6.5,3.4,3.6
Bosnia and Herzegovina,2013,75th,111.9,Elevated Warning,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8,1.3,8.9,5.4,7.9,9.8,2.1
Uzbekistan,2013,76th,111.9,Elevated Warning,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4,2.4,9.9,3.1,7.4,0,2.2
Lebanon,2013,77th,111.6,Elevated Warning,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2,1.7,8.1,7.1,8.1,0,0.3
Serbia,2013,78th,110.8,Elevated Warning,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7,1.4,9.5,5.2,7.8,9.2,3.3
Madagascar,2013,79th,110.5,Elevated Warning,7,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7,4.4,7.4,4.3,6.6,3.2,1.8
Guyana,2013,80th,110.3,Elevated Warning,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9,2.6,9.8,7.9,6.9,9.2,3.1
Djibouti,2013,81st,109.9,Elevated Warning,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1,3.1,8.2,0,6.3,5.5,1.3
Turkey,2013,82nd,109.5,Elevated Warning,7.9,7.3,9,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6,2.1,9.8,2.8,7.8,9.8,1.4
Russia,2013,83rd,108.6,Elevated Warning,8.5,8,8.2,3.5,7,5.1,8.1,5.1,8.6,5.7,5.3,4,1.7,9.7,2.1,7.6,9,1.4
Indonesia,2013,84th,108.5,Elevated Warning,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6,5.9,2.4,8.5,2.5,7.1,7.9,1.9
