Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Dominican Republic,2013,102nd,67.4,Elevated Warning,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9,2.5,-8.3,-3.1,-7.7,8.5,-2.1
Mexico,2013,89th,67.1,Elevated Warning,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1,2.3,-8.3,-3.3,-7.9,9.1,-3.7
Morocco,2013,95th,67.1,Elevated Warning,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9,2.6,-9.9,-4.7,-7.6,5.9,-1.7
Cape Verde,2013,92nd,66.8,Elevated Warning,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2,2.5,-9.3,-5.5,-7.4,7.2,-2.1
Thailand,2013,73rd,66.7,Elevated Warning,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6,1.5,-9.9,-6.5,-7.9,9.7,-1.6
Serbia,2013,78th,66.3,Elevated Warning,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7,1.4,-9.5,-5.2,-7.8,9.2,-3.3
El Salvador,2013,90th,66.3,Elevated Warning,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1,2.2,-9.2,-4.6,-7.7,8.1,-2.6
Samoa,2013,111th,66.1,Elevated Warning,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8,4.1,-6.7,-4.9,-7.8,9.4,-0.4
Peru,2013,109th,66,Elevated Warning,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5,2.5,-8.8,-2.5,-7.7,7,-2.2
Paraguay,2013,98th,65.9,Elevated Warning,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2,2.6,-8.6,-4.5,-7.5,9.2,-1.8
Saudi Arabia,2013,118th,65.6,Elevated Warning,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6,2.7,-9.8,-3.1,-7.6,0,-2
Suriname,2013,103rd,65,Elevated Warning,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3,2.4,-8.6,-5.3,-7.4,8.8,-1.2
Namibia,2013,105th,65,Elevated Warning,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5,3.6,-8.9,-5.8,-6.5,6.4,-2.4
Cuba,2013,87th,64.5,Warning,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7,1.7,-9.9,-2,-8.1,8.8,-4.9
Ghana,2013,113th,64.3,Warning,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6,4.1,-9,-4.7,-6.3,6.4,-1.1
Guyana,2013,80th,63.6,Warning,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6,4.4,5.8,3.8,5.9,2.6,-9.8,-7.9,-6.9,9.2,-3.1
Armenia,2013,100th,63.5,Warning,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2,1.6,-9.5,-4.8,-7.7,9.5,-1.1
South Africa,2013,120th,62.8,Warning,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9,2.5,-7.3,-3.3,-6.3,6.1,-4.2
Kazakhstan,2013,107th,62.6,Warning,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3,2.6,-9.8,-2.7,-7.5,8.3,-2.4
Belize,2013,108th,60.3,Warning,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3,2.6,-9.5,-6.7,-7.3,9.4,-0.3
Ukraine,2013,117th,59.8,Warning,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2,1.5,-7.6,-5.2,-7.6,9.9,-0.9
Macedonia,2013,97th,59.7,Warning,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6,1.5,-9.8,-6.1,-7.7,9.8,-3.4
Jamaica,2013,115th,58.6,Warning,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3,2.1,-9.3,-5.3,-7.8,8.8,-1.3
Cyprus,2013,106th,58.5,Warning,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9,1.4,-9.9,-5.7,-8.2,10,-1.1
Malaysia,2013,110th,58.5,Warning,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4,2.1,-9.7,-6.7,-7.7,9,-1
Botswana,2013,122nd,57.2,Warning,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8,2.8,-9.5,-6.1,-6.7,5.8,-0.8
