Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Solomon Islands,2015,48th,elevated warning,111,low,6.4,very low,8.2,low,6.5,high,7.6,very low,8.9,low,6.3,low,7.3,high,7.6,neutral,5.7,very low,8.5,neutral,4.9,low,8,high,3.9,high,7.3,low,2.4,neutral,5.7,neutral,5.6,very low,0.2
Laos,2015,49th,elevated warning,110.8,low,6,very low,8.3,low,6.3,neutral,5.5,low,6.9,low,7.4,very low,9,high,7.7,very high,8.1,low,7.1,neutral,5.6,low,6.6,high,2.8,high,7.4,very low,1.8,neutral,4.5,low,7.3,low,2.5
Kyrgyz Republic,2015,50th,elevated warning,110.5,low,6.8,very low,8,very low,8.4,high,7,low,6.4,low,6.4,low,7.8,neutral,5.6,high,7.2,neutral,5.9,neutral,5.8,low,6.9,high,3.2,neutral,5,low,3.5,high,6.5,very low,8.2,very low,1.9
Gambia,2015,51st,elevated warning,110.1,low,6,low,6.8,high,3.7,high,7.8,low,7.2,low,7.7,low,7.8,high,7.7,very high,8.6,very low,8.2,low,6.4,low,7.5,neutral,5.5,high,7.4,very low,1.2,low,2.9,low,6.8,very low,0.9
Iran,2015,52nd,elevated warning,110,very low,8,very low,9.4,very low,8.5,high,6.9,low,6.1,low,6.2,very low,8.9,neutral,5,very high,9.3,neutral,5.4,low,6.5,low,7,very high,1.7,neutral,4.3,very low,0.5,high,7.1,very low,8.9,very low,0.3
Israel and West Bank,2015,53rd,elevated warning,110,low,7,very low,8.1,very low,9.7,low,3.9,low,6.9,high,3.8,low,6.3,neutral,5.3,high,7.4,low,6,low,7.4,low,7.6,high,3.1,neutral,4.7,very low,0.9,very high,9.2,very low,10,low,2.7
Comoros,2015,54th,elevated warning,109.4,low,7.2,low,7.5,neutral,5,very high,8,low,7,low,7.8,low,6.8,very high,8,high,6.1,low,7.6,neutral,4.5,low,7.8,neutral,4.4,high,7.7,very low,1.9,low,3.8,very low,8,very low,0.3
Tajikistan,2015,55th,elevated warning,108.9,low,6.8,very low,8.4,low,7.3,high,7.4,neutral,5.6,low,6.3,very low,9.1,neutral,5.9,high,7.6,low,7.8,neutral,4.8,low,6.4,high,3.4,neutral,5.3,very low,1.7,high,6.3,low,6.8,very low,1.9
Guatemala,2015,56th,elevated warning,108.8,low,7,low,6,low,7.9,high,6,very low,8,low,6.7,low,6.6,high,7.4,high,6.6,low,7.3,neutral,5.5,neutral,5.4,high,3,high,7,very low,1.1,high,6.9,very low,8.9,very low,1.4
Zambia,2015,57th,elevated warning,108.6,neutral,5,neutral,5.7,neutral,5.7,high,7.7,very low,8.6,low,7.8,low,7.4,high,7.6,high,6.8,very low,9.4,low,6.9,low,6.6,neutral,5,high,7.3,low,2,low,3.4,neutral,4.4,very low,1.3
Colombia,2015,58th,elevated warning,108.5,low,7.3,low,7.6,very low,8,low,3.8,low,7.5,low,6.7,low,7.1,high,6,high,7.3,low,6.9,low,7.8,low,6.5,very high,1.9,neutral,5.5,very low,0.7,high,7.4,very low,8.6,low,2
Madagascar,2015,59th,elevated warning,108.5,low,7.1,low,7.6,neutral,4.6,high,7.6,very low,8.5,low,6.1,low,7.2,very high,9.1,high,6.1,very low,8.5,high,3.9,low,7.3,neutral,4.2,very high,9,very low,1.9,neutral,4.3,high,3.4,low,2.1
Algeria,2015,60th,elevated warning,108.4,very low,8,low,7.7,very low,8.2,high,6.4,low,6,neutral,5.1,low,7.8,neutral,5.8,high,7.1,neutral,5.7,low,6.4,neutral,5.4,high,2.8,neutral,5.2,very low,1.4,high,7.2,very low,8.9,low,3.2
Nicaragua,2015,61st,elevated warning,108.3,neutral,5.6,low,6.8,low,6.5,high,6.2,low,7.9,very low,8.1,low,7.3,high,7.2,neutral,5.3,low,6.2,neutral,4.6,low,7.3,high,2.2,high,6.8,low,2.6,high,7.5,low,6.1,neutral,4.1
Swaziland,2015,62nd,elevated warning,107.7,low,6,low,6.8,high,3.7,very high,9.3,very low,8.1,low,6.9,very low,8.5,high,7.5,very high,8.5,very low,8.5,neutral,4.9,low,7.6,high,3.1,high,7.2,low,2.1,low,2.4,low,6,very low,0.6
