Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Nigeria,2012,49th,116,Elevated warning,9.2,Very High,9.8,Very Low,9.7,Very Low,7.5,High,8.9,Very Low,7.6,Low,9.1,Very Low,9.1,Very High,8.6,Very High,8.4,Very Low,6.5,Low,6.6, Low,5.8,Neutral,2.4,Low,0.7,Very Low,0.5,Very Low,4.4,Neutral,1.2,Very Low
Ecuador,2012,50th,115.8,Elevated warning,6.5,High,8.2,Very Low,6.9,Low,5.9,Neutral,7.7,Low,7.1,Low,7.5,Low,7.2,High,5.2,Neutral,5.6,Neutral,6,Neutral,6.3, Low,2.6,High,8.4,Very High,1.8,Very Low,7.2,High,10,Very Low,5.7,Neutral
Tajikistan,2012,51st,115.7,Elevated warning,7.1,High,8.3,Very Low,6.9,Low,7.7,High,6.5,Low,5.7,Neutral,8.8,Very Low,6.6,High,8.5,Very High,7.3,Low,5.6,Neutral,6.7, Low,3.5,High,9.3,Very High,4,Low,5.9,Neutral,3.9,High,3.4,Low
Bolivia,2012,52nd,115.2,Elevated warning,6.5,High,8,Low,7.4,Low,6.5,High,8.8,Very Low,6.1,Low,7.1,Low,6.8,High,6.5,High,7.5,Low,4.3,Neutral,6.6, Low,3.1,High,9.2,Very High,2.2,Low,5,Neutral,9.2,Very Low,4.5,Neutral
Lebanon,2012,53rd,114.8,Elevated warning,8.4,Very High,9.1,Very Low,8.4,Very Low,5.5,Neutral,6.5,Low,6.3,Low,7.5,Low,5.5,Neutral,6.5,High,6.2,Low,8.2,Very Low,7.7, Low,1.7,Very High,7.6,High,4.4,Neutral,7.8,High,6.9,Low,0.6,Very Low
Djibouti,2012,54th,114.5,Elevated warning,6.5,High,7.5,Low,6.5,Low,6.6,High,7.1,Low,4.9,Neutral,7.5,Low,7.2,High,6.8,High,8.3,Very Low,6.9,Low,8, Low,3.1,High,7.6,High,4.4,Neutral,3.2,Low,9.8,Very Low,2.5,Low
Zambia,2012,55th,114.2,Elevated warning,5.3,Neutral,6,Neutral,6.3,Low,8.1,Very High,7.7,Low,7.1,Low,8,Low,7.7,High,6.4,High,9.1,Very Low,7.3,Low,7, Low,5.2,Neutral,7.2,High,2.2,Low,2.8,Low,8.7,Very Low,2,Very Low
Fiji,2012,56th,113.7,Elevated warning,7,High,7.9,Low,7.6,Low,7,High,7.7,Low,7.3,Low,8.8,Very Low,5.2,Neutral,7,High,5.1,Neutral,3.3,High,6.6, Low,2.6,High,10,Very High,3.7,Low,5.8,Neutral,8.3,Very Low,2.8,Low
Colombia,2012,57th,113.7,Elevated warning,7,High,7.7,Low,7.2,Low,4,Low,8.4,Very Low,7.6,Low,7.4,Low,5.9,Neutral,7,High,6.4,Low,8.4,Very Low,7.4, Low,1.9,Very High,8.9,Very High,1.1,Very Low,6.9,High,8.2,Very Low,2.1,Low
Belarus,2012,58th,113.6,Elevated warning,6,Neutral,8,Low,6.5,Low,6.5,High,6,Neutral,4.2,Neutral,9,Very Low,5.5,Neutral,8.3,Very High,6,Neutral,3.3,High,7.3, Low,1.6,Very High,9.9,Very High,4.3,Neutral,7,High,9.5,Very Low,4.7,Neutral
Moldova,2012,59th,113.2,Elevated warning,7.5,High,8,Low,6.3,Low,6.2,High,6.2,Low,7.2,Low,7.4,Low,6,Neutral,6.2,High,5.8,Neutral,4.7,Neutral,7.2, Low,1.3,Very High,9.1,Very High,4.8,Neutral,6.3,High,9.5,Very Low,3.5,Low
Burkina Faso,2012,60th,112.9,Elevated warning,7.1,High,7.3,Low,5.2,Neutral,7.7,High,8.2,Very Low,6,Neutral,8,Low,8.4,Very High,7,High,8.9,Very Low,5.9,Neutral,7.7, Low,5.7,Neutral,8.8,Very High,2.1,Low,2.2,Low,3.9,High,2.8,Low
Gambia,2012,61st,112.8,Elevated warning,5.8,Neutral,6.8,Low,3.7,High,7.4,High,6.5,Low,6.8,Low,7.8,Low,7.2,High,7.5,High,7.8,Low,6.1,Low,7.2, Low,5.6,Neutral,9.9,Very High,2.5,Low,2.9,Low,10,Very Low,1.3,Very Low
