Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Tunisia,2014,60th,elevated warning,111,high,7.3,very low,8.1,low,7.8,high,6.3,neutral,5.7,neutral,5.3,very low,8,neutral,5.2,very high,8.1,neutral,4.7,neutral,4.4,low,6.6,high,2.2,very high,9.9,low,2.8,low,7.3,very low,8.2,low,3.1
Sierra Leone,2014,61st,elevated warning,110.8,neutral,5.1,low,7.7,neutral,5.9,very high,8.3,very low,8.5,very low,8.3,low,7.2,very high,9.1,neutral,5.9,very low,8.7,low,7.8,low,7.4,neutral,4.7,very high,8,low,2.6,very high,0,neutral,4.5,very low,1.2
Gambia,2014,62nd,elevated warning,110.6,neutral,5.2,low,6.8,high,3.7,high,7.5,low,7.1,low,7.4,low,7.5,high,7.8,very high,8.3,low,7.9,low,6.7,low,7.2,neutral,5.5,very high,9.6,very low,1.7,high,3,low,6.8,very low,0.9
Maldives,2014,63rd,elevated warning,110.5,neutral,5.8,very low,8.3,neutral,4.9,high,6.7,neutral,4.2,neutral,5.9,very low,8.4,high,6.4,high,7.4,neutral,5.7,neutral,5,low,6.7,high,2.2,very high,10,neutral,4.8,low,7.5,very low,10,very low,0.6
Swaziland,2014,65th,elevated warning,110.3,neutral,5.7,low,7,high,3.6,very high,8.9,low,7.8,low,6.6,very low,8.8,high,7.7,very high,8,very low,8.7,neutral,5.2,low,7.8,high,3.2,very high,9.9,low,2.6,high,2.3,neutral,5.9,very low,0.6
China,2014,64th,elevated warning,110.3,high,6.2,low,7.2,very low,8.6,low,3.9,low,7.7,neutral,4.8,low,7.9,high,6.5,very high,9.1,low,7.7,neutral,5.9,high,3.5,very high,1.6,very high,10,very low,0.6,low,7.4,very low,9.4,low,2.3
Angola,2014,66th,elevated warning,110.3,neutral,5.8,low,7.2,low,7.1,neutral,5.4,very low,9.5,low,6,very low,8,very high,9.1,high,7,very low,9,low,7.5,neutral,5.8,neutral,5.8,neutral,5.6,very low,1.9,high,3.5,high,2.4,low,3.7
Zambia,2014,67th,elevated warning,110.2,neutral,4.7,neutral,5.7,low,6,very high,8,very low,8.3,low,7.7,low,7.7,high,7.9,high,6.8,very low,9.3,low,7.2,low,6.9,neutral,5.1,very high,8.4,very low,1.9,high,3.3,neutral,4.3,very low,1.1
Djibouti,2014,68th,elevated warning,110,high,6.9,low,7.6,low,6.4,high,7.2,low,7.5,neutral,5.5,low,7.9,high,7.7,high,6.9,very low,8.1,low,7.4,very low,8,high,3,high,7.3,low,2.3,high,3.4,neutral,5.5,very low,1.3
Turkmenistan,2014,69th,elevated warning,109.9,high,6.8,low,7.8,low,6.9,neutral,5.3,low,6.7,neutral,5.1,very low,9.6,high,6.4,very high,8.5,low,6,neutral,4.2,neutral,4.9,high,3,very high,9.9,very low,1.1,neutral,5.5,very low,9.6,low,2.6
